ocupacion,sexo,trimestre,valor
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2014T4,521.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2014T3,523.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2014T2,508.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2014T1,497.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2013T4,515.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2013T3,527.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2013T2,516.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2013T1,496.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2012T4,501.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2012T3,490.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2012T2,486.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Ambos sexos,2012T1,485.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2024T4,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2024T3,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2024T2,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2024T1,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2023T4,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2023T3,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2023T2,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2023T1,100.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2022T4,513.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2022T3,520.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2022T2,530.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2022T1,518.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2021T4,504.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2021T3,478.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2021T2,480.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2021T1,450.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2020T4,417.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2020T3,424.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2020T2,429.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2020T1,425.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2019T4,444.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2019T3,431.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2019T2,442.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2019T1,429.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2018T4,418.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2018T3,400.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2018T2,399.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2018T1,407.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2017T4,395.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2017T3,390.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2017T2,414.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2017T1,403.8
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2016T4,409.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2016T3,413.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2016T2,405.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2016T1,399.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2015T4,384.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2015T3,391.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2015T2,400.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2015T1,384.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2014T4,394.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2014T3,399.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2014T2,392.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2014T1,373.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2013T4,365.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2013T3,369.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2013T2,372.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2013T1,358.8
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2012T4,371.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2012T3,382.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2012T2,370.8
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Hombres,2012T1,369.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2024T4,71.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2024T3,73.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2024T2,72.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2024T1,74.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2023T4,72.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2023T3,73.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2023T2,71.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2023T1,72.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2022T4,73.8
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2022T3,73.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2022T2,73.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2022T1,72.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2021T4,71.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2021T3,71.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2021T2,70.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2021T1,71.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2020T4,227.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2020T3,239.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2020T2,235.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2020T1,244.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2019T4,267.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2019T3,251.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2019T2,248.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2019T1,198.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2018T4,206.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2018T3,217.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2018T2,195.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2018T1,202.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2017T4,196.1
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2017T3,208.8
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2017T2,198.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2017T1,179.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2016T4,175.6
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2016T3,176.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2016T2,185.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2016T1,182.5
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2015T4,189.3
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2015T3,185.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2015T2,181.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2015T1,179.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2014T4,170.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2014T3,165.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2014T2,156.2
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2014T1,148.8
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2013T4,154.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2013T3,153.7
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2013T2,146.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2013T1,152.4
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2012T4,157.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2012T3,157.0
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2012T2,156.9
"24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",Mujeres,2012T1,147.6
27 Profesionales de las tecnologías de la información,Ambos sexos,2024T4,296.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2024T3,285.2
27 Profesionales de las tecnologías de la información,Ambos sexos,2024T2,269.8
27 Profesionales de las tecnologías de la información,Ambos sexos,2024T1,275.9
27 Profesionales de las tecnologías de la información,Ambos sexos,2023T4,256.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2023T3,261.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2023T2,252.5
27 Profesionales de las tecnologías de la información,Ambos sexos,2023T1,234.4
27 Profesionales de las tecnologías de la información,Ambos sexos,2022T4,239.2
27 Profesionales de las tecnologías de la información,Ambos sexos,2022T3,235.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2022T2,223.6
27 Profesionales de las tecnologías de la información,Ambos sexos,2022T1,220.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2021T4,203.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2021T3,198.1
27 Profesionales de las tecnologías de la información,Ambos sexos,2021T2,190.2
27 Profesionales de las tecnologías de la información,Ambos sexos,2021T1,196.1
27 Profesionales de las tecnologías de la información,Ambos sexos,2020T4,197.5
27 Profesionales de las tecnologías de la información,Ambos sexos,2020T3,204.3
27 Profesionales de las tecnologías de la información,Ambos sexos,2020T2,222.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2020T1,211.5
27 Profesionales de las tecnologías de la información,Ambos sexos,2019T4,205.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2019T3,206.9
27 Profesionales de las tecnologías de la información,Ambos sexos,2019T2,191.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2019T1,189.6
27 Profesionales de las tecnologías de la información,Ambos sexos,2018T4,190.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2018T3,185.9
27 Profesionales de las tecnologías de la información,Ambos sexos,2018T2,182.4
27 Profesionales de las tecnologías de la información,Ambos sexos,2018T1,181.8
27 Profesionales de las tecnologías de la información,Ambos sexos,2017T4,191.4
27 Profesionales de las tecnologías de la información,Ambos sexos,2017T3,194.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2017T2,183.2
27 Profesionales de las tecnologías de la información,Ambos sexos,2017T1,168.4
27 Profesionales de las tecnologías de la información,Ambos sexos,2016T4,169.3
27 Profesionales de las tecnologías de la información,Ambos sexos,2016T3,162.3
27 Profesionales de las tecnologías de la información,Ambos sexos,2016T2,150.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2016T1,154.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2015T4,147.8
27 Profesionales de las tecnologías de la información,Ambos sexos,2015T3,150.8
27 Profesionales de las tecnologías de la información,Ambos sexos,2015T2,142.3
27 Profesionales de las tecnologías de la información,Ambos sexos,2015T1,131.4
27 Profesionales de las tecnologías de la información,Ambos sexos,2014T4,146.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2014T3,144.5
27 Profesionales de las tecnologías de la información,Ambos sexos,2014T2,144.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2014T1,153.7
27 Profesionales de las tecnologías de la información,Ambos sexos,2013T4,159.3
27 Profesionales de las tecnologías de la información,Ambos sexos,2013T3,173.1
27 Profesionales de las tecnologías de la información,Ambos sexos,2013T2,167.9
27 Profesionales de las tecnologías de la información,Ambos sexos,2013T1,160.9
27 Profesionales de las tecnologías de la información,Ambos sexos,2012T4,158.0
27 Profesionales de las tecnologías de la información,Ambos sexos,2012T3,150.5
27 Profesionales de las tecnologías de la información,Ambos sexos,2012T2,168.8
27 Profesionales de las tecnologías de la información,Ambos sexos,2012T1,154.4
27 Profesionales de las tecnologías de la información,Hombres,2024T4,100.0
27 Profesionales de las tecnologías de la información,Hombres,2024T3,100.0
27 Profesionales de las tecnologías de la información,Hombres,2024T2,100.0
27 Profesionales de las tecnologías de la información,Hombres,2024T1,100.0
27 Profesionales de las tecnologías de la información,Hombres,2023T4,100.0
27 Profesionales de las tecnologías de la información,Hombres,2023T3,100.0
27 Profesionales de las tecnologías de la información,Hombres,2023T2,100.0
27 Profesionales de las tecnologías de la información,Hombres,2023T1,100.0
27 Profesionales de las tecnologías de la información,Hombres,2022T4,227.4
27 Profesionales de las tecnologías de la información,Hombres,2022T3,224.7
27 Profesionales de las tecnologías de la información,Hombres,2022T2,200.5
27 Profesionales de las tecnologías de la información,Hombres,2022T1,204.5
27 Profesionales de las tecnologías de la información,Hombres,2021T4,195.4
27 Profesionales de las tecnologías de la información,Hombres,2021T3,198.6
27 Profesionales de las tecnologías de la información,Hombres,2021T2,185.2
27 Profesionales de las tecnologías de la información,Hombres,2021T1,176.7
27 Profesionales de las tecnologías de la información,Hombres,2020T4,184.8
27 Profesionales de las tecnologías de la información,Hombres,2020T3,186.4
27 Profesionales de las tecnologías de la información,Hombres,2020T2,176.8
27 Profesionales de las tecnologías de la información,Hombres,2020T1,179.1
27 Profesionales de las tecnologías de la información,Hombres,2019T4,164.9
27 Profesionales de las tecnologías de la información,Hombres,2019T3,150.7
27 Profesionales de las tecnologías de la información,Hombres,2019T2,145.2
27 Profesionales de las tecnologías de la información,Hombres,2019T1,154.8
27 Profesionales de las tecnologías de la información,Hombres,2018T4,150.8
27 Profesionales de las tecnologías de la información,Hombres,2018T3,158.2
27 Profesionales de las tecnologías de la información,Hombres,2018T2,168.4
27 Profesionales de las tecnologías de la información,Hombres,2018T1,166.7
27 Profesionales de las tecnologías de la información,Hombres,2017T4,159.9
27 Profesionales de las tecnologías de la información,Hombres,2017T3,160.4
27 Profesionales de las tecnologías de la información,Hombres,2017T2,151.6
27 Profesionales de las tecnologías de la información,Hombres,2017T1,152.1
27 Profesionales de las tecnologías de la información,Hombres,2016T4,151.2
27 Profesionales de las tecnologías de la información,Hombres,2016T3,148.6
27 Profesionales de las tecnologías de la información,Hombres,2016T2,145.2
27 Profesionales de las tecnologías de la información,Hombres,2016T1,139.6
27 Profesionales de las tecnologías de la información,Hombres,2015T4,149.9
27 Profesionales de las tecnologías de la información,Hombres,2015T3,157.6
27 Profesionales de las tecnologías de la información,Hombres,2015T2,146.0
27 Profesionales de las tecnologías de la información,Hombres,2015T1,136.9
27 Profesionales de las tecnologías de la información,Hombres,2014T4,133.5
27 Profesionales de las tecnologías de la información,Hombres,2014T3,128.2
27 Profesionales de las tecnologías de la información,Hombres,2014T2,118.3
27 Profesionales de las tecnologías de la información,Hombres,2014T1,120.3
27 Profesionales de las tecnologías de la información,Hombres,2013T4,111.6
27 Profesionales de las tecnologías de la información,Hombres,2013T3,114.2
27 Profesionales de las tecnologías de la información,Hombres,2013T2,111.0
27 Profesionales de las tecnologías de la información,Hombres,2013T1,103.4
27 Profesionales de las tecnologías de la información,Hombres,2012T4,110.6
27 Profesionales de las tecnologías de la información,Hombres,2012T3,112.0
27 Profesionales de las tecnologías de la información,Hombres,2012T2,115.2
27 Profesionales de las tecnologías de la información,Hombres,2012T1,120.9
27 Profesionales de las tecnologías de la información,Mujeres,2024T4,75.8
27 Profesionales de las tecnologías de la información,Mujeres,2024T3,77.5
27 Profesionales de las tecnologías de la información,Mujeres,2024T2,79.6
27 Profesionales de las tecnologías de la información,Mujeres,2024T1,78.7
27 Profesionales de las tecnologías de la información,Mujeres,2023T4,75.9
27 Profesionales de las tecnologías de la información,Mujeres,2023T3,71.2
27 Profesionales de las tecnologías de la información,Mujeres,2023T2,70.5
27 Profesionales de las tecnologías de la información,Mujeres,2023T1,72.8
27 Profesionales de las tecnologías de la información,Mujeres,2022T4,76.1
27 Profesionales de las tecnologías de la información,Mujeres,2022T3,74.9
27 Profesionales de las tecnologías de la información,Mujeres,2022T2,75.6
27 Profesionales de las tecnologías de la información,Mujeres,2022T1,79.0
27 Profesionales de las tecnologías de la información,Mujeres,2021T4,80.4
27 Profesionales de las tecnologías de la información,Mujeres,2021T3,75.3
27 Profesionales de las tecnologías de la información,Mujeres,2021T2,73.1
27 Profesionales de las tecnologías de la información,Mujeres,2021T1,74.8
27 Profesionales de las tecnologías de la información,Mujeres,2020T4,68.6
27 Profesionales de las tecnologías de la información,Mujeres,2020T3,60.5
27 Profesionales de las tecnologías de la información,Mujeres,2020T2,69.3
27 Profesionales de las tecnologías de la información,Mujeres,2020T1,71.5
27 Profesionales de las tecnologías de la información,Mujeres,2019T4,61.4
27 Profesionales de las tecnologías de la información,Mujeres,2019T3,63.1
27 Profesionales de las tecnologías de la información,Mujeres,2019T2,67.3
27 Profesionales de las tecnologías de la información,Mujeres,2019T1,57.7
27 Profesionales de las tecnologías de la información,Mujeres,2018T4,54.4
27 Profesionales de las tecnologías de la información,Mujeres,2018T3,49.4
27 Profesionales de las tecnologías de la información,Mujeres,2018T2,46.7
27 Profesionales de las tecnologías de la información,Mujeres,2018T1,40.9
27 Profesionales de las tecnologías de la información,Mujeres,2017T4,38.1
27 Profesionales de las tecnologías de la información,Mujeres,2017T3,47.5
27 Profesionales de las tecnologías de la información,Mujeres,2017T2,45.1
27 Profesionales de las tecnologías de la información,Mujeres,2017T1,41.3
27 Profesionales de las tecnologías de la información,Mujeres,2016T4,46.7
27 Profesionales de las tecnologías de la información,Mujeres,2016T3,46.1
27 Profesionales de las tecnologías de la información,Mujeres,2016T2,53.6
27 Profesionales de las tecnologías de la información,Mujeres,2016T1,44.8
27 Profesionales de las tecnologías de la información,Mujeres,2015T4,45.8
27 Profesionales de las tecnologías de la información,Mujeres,2015T3,46.5
27 Profesionales de las tecnologías de la información,Mujeres,2015T2,40.1
27 Profesionales de las tecnologías de la información,Mujeres,2015T1,37.5
27 Profesionales de las tecnologías de la información,Mujeres,2014T4,38.8
27 Profesionales de las tecnologías de la información,Mujeres,2014T3,37.3
27 Profesionales de las tecnologías de la información,Mujeres,2014T2,37.2
27 Profesionales de las tecnologías de la información,Mujeres,2014T1,42.2
27 Profesionales de las tecnologías de la información,Mujeres,2013T4,41.4
27 Profesionales de las tecnologías de la información,Mujeres,2013T3,37.0
27 Profesionales de las tecnologías de la información,Mujeres,2013T2,37.2
27 Profesionales de las tecnologías de la información,Mujeres,2013T1,31.5
27 Profesionales de las tecnologías de la información,Mujeres,2012T4,35.7
27 Profesionales de las tecnologías de la información,Mujeres,2012T3,34.1
27 Profesionales de las tecnologías de la información,Mujeres,2012T2,31.7
27 Profesionales de las tecnologías de la información,Mujeres,2012T1,33.7
28 Profesionales en ciencias sociales,Ambos sexos,2024T4,274.4
28 Profesionales en ciencias sociales,Ambos sexos,2024T3,257.0
28 Profesionales en ciencias sociales,Ambos sexos,2024T2,258.7
28 Profesionales en ciencias sociales,Ambos sexos,2024T1,272.0
28 Profesionales en ciencias sociales,Ambos sexos,2023T4,257.2
28 Profesionales en ciencias sociales,Ambos sexos,2023T3,252.3
28 Profesionales en ciencias sociales,Ambos sexos,2023T2,237.5
28 Profesionales en ciencias sociales,Ambos sexos,2023T1,238.5
28 Profesionales en ciencias sociales,Ambos sexos,2022T4,232.8
28 Profesionales en ciencias sociales,Ambos sexos,2022T3,222.5
28 Profesionales en ciencias sociales,Ambos sexos,2022T2,235.7
28 Profesionales en ciencias sociales,Ambos sexos,2022T1,233.7
28 Profesionales en ciencias sociales,Ambos sexos,2021T4,228.6
28 Profesionales en ciencias sociales,Ambos sexos,2021T3,228.0
28 Profesionales en ciencias sociales,Ambos sexos,2021T2,219.0
28 Profesionales en ciencias sociales,Ambos sexos,2021T1,218.6
28 Profesionales en ciencias sociales,Ambos sexos,2020T4,212.2
28 Profesionales en ciencias sociales,Ambos sexos,2020T3,218.8
28 Profesionales en ciencias sociales,Ambos sexos,2020T2,205.6
28 Profesionales en ciencias sociales,Ambos sexos,2020T1,225.9
28 Profesionales en ciencias sociales,Ambos sexos,2019T4,224.8
28 Profesionales en ciencias sociales,Ambos sexos,2019T3,217.3
